Alabama,AL,4833722
Alaska,AK,735132
Arizona,AZ,6626624
Arkansas,AR,2959373
California,CA,38332521
Colorado,CO,5268367
Connecticut,CT,3596080
Delaware,DE,925749
Florida,FL,19552860
Georgia,GA,9992167
Hawaii,HI,1404054
Idaho,ID,1612136
Illinois,IL,12882135
Indiana,IN,6570902
Iowa,IA,3090416
Kansas,KS,2893957
Kentucky,KY,4395295
Louisiana,LA,4625470
Maine,ME,1328302
Maryland,MD,5928814
Massachusetts,MA,6692824
Michigan,MI,9895622
Minnesota,MN,5420380
Mississippi,MS,2991207
Missouri,MO,6021988
Montana,MT,1015165
Nebraska,NE,1868516
Nevada,NV,2790136
New Hampshire,NH,1323459
New Jersey,NJ,8899339
New Mexico,NM,2085287
New York,NY,19651127
North Carolina,NC,9848060
North Dakota,ND,723393
Ohio,OH,11570808
Oklahoma,OK,3850568
Oregon,OR,3930065
Pennsylvania,PA,12773801
Rhode Island,RI,1051511
South Carolina,SC,4774839
South Dakota,SD,844877
Tennessee,TN,6495978
Texas,TX,26448193
Utah,UT,2900872
Vermont,VT,626630
Virginia,VA,8260405
Washington,WA,6971406
West Virginia,WV,1854304
Wisconsin,WI,5742713
Wyoming,WY,582658
